country,date,inflation_rate
China (People’s Republic of),2022-12-01,1.8
China (People’s Republic of),2023-01-01,116.0079
China (People’s Republic of),2023-01-01,2.1
China (People’s Republic of),2023-02-01,115.4502
China (People’s Republic of),2023-02-01,1.0
China (People’s Republic of),2023-03-01,115.1156
China (People’s Republic of),2023-03-01,0.7
China (People’s Republic of),2023-04-01,114.8925
China (People’s Republic of),2023-04-01,0.1
China (People’s Republic of),2023-05-01,114.7809
China (People’s Republic of),2023-05-01,0.2
China (People’s Republic of),2023-06-01,114.5578
China (People’s Republic of),2023-06-01,0.0
China (People’s Republic of),2023-07-01,114.7809
China (People’s Republic of),2023-07-01,-0.3
China (People’s Republic of),2023-08-01,115.1156
China (People’s Republic of),2023-08-01,0.1
China (People’s Republic of),2023-09-01,115.3387
China (People’s Republic of),2023-09-01,0.0
China (People’s Republic of),2023-10-01,115.2271
China (People’s Republic of),2023-10-01,-0.2
China (People’s Republic of),2023-11-01,114.6694
China (People’s Republic of),2023-11-01,-0.5
China (People’s Republic of),2023-12-01,114.7809
China (People’s Republic of),2023-12-01,-0.3
China (People’s Republic of),2024-01-01,115.004
China (People’s Republic of),2024-01-01,-0.8
China (People’s Republic of),2024-02-01,116.231
China (People’s Republic of),2024-02-01,0.7
China (People’s Republic of),2024-03-01,115.2271
China (People’s Republic of),2024-03-01,0.1
China (People’s Republic of),2024-04-01,115.1156
China (People’s Republic of),2024-04-01,0.3
China (People’s Republic of),2024-05-01,115.1156
China (People’s Republic of),2024-05-01,0.3
China (People’s Republic of),2024-06-01,114.7809
China (People’s Republic of),2024-06-01,0.2
China (People’s Republic of),2024-07-01,115.3387
China (People’s Republic of),2024-07-01,0.5
China (People’s Republic of),2024-08-01,115.7848
China (People’s Republic of),2024-08-01,0.6
China (People’s Republic of),2024-09-01,115.7848
China (People’s Republic of),2024-09-01,0.4
China (People’s Republic of),2024-10-01,115.5617
China (People’s Republic of),2024-10-01,0.3
China (People’s Republic of),2024-11-01,114.8925
China (People’s Republic of),2024-11-01,0.2
China (People’s Republic of),2024-12-01,114.8925
China (People’s Republic of),2024-12-01,0.1
China (People’s Republic of),2025-01-01,115.5617
China (People’s Republic of),2025-01-01,0.5
China (People’s Republic of),2025-02-01,115.3387
China (People’s Republic of),2025-02-01,-0.7
China (People’s Republic of),2025-03-01,115.1156
China (People’s Republic of),2025-03-01,-0.1
Euro area (20 countries),2000-01-01,74.82
Euro area (20 countries),2000-01-01,1.933573
Euro area (20 countries),2000-02-01,75.06
Euro area (20 countries),2000-02-01,2.024378
Euro area (20 countries),2000-03-01,75.33
Euro area (20 countries),2000-03-01,2.058617
Euro area (20 countries),2000-04-01,75.41
Euro area (20 countries),2000-04-01,1.808571
Euro area (20 countries),2000-05-01,75.5
Euro area (20 countries),2000-05-01,1.861354
Euro area (20 countries),2000-06-01,75.76
Euro area (20 countries),2000-06-01,2.212134
Euro area (20 countries),2000-07-01,75.84
Euro area (20 countries),2000-07-01,2.182281
Euro area (20 countries),2000-08-01,75.9
Euro area (20 countries),2000-08-01,2.139333
Euro area (20 countries),2000-09-01,76.23
Euro area (20 countries),2000-09-01,2.473156
Euro area (20 countries),2000-10-01,76.27
Euro area (20 countries),2000-10-01,2.471857
Euro area (20 countries),2000-11-01,76.43
Euro area (20 countries),2000-11-01,2.549118
Euro area (20 countries),2000-12-01,76.71
Euro area (20 countries),2000-12-01,2.6
Euro area (20 countries),2001-01-01,76.4
Euro area (20 countries),2001-01-01,2.1
Euro area (20 countries),2001-02-01,76.63
Euro area (20 countries),2001-02-01,2.1
Euro area (20 countries),2001-03-01,77.04
Euro area (20 countries),2001-03-01,2.3
Euro area (20 countries),2001-04-01,77.51
Euro area (20 countries),2001-04-01,2.8
Euro area (20 countries),2001-05-01,77.87
Euro area (20 countries),2001-05-01,3.1
Euro area (20 countries),2001-06-01,77.99
Euro area (20 countries),2001-06-01,2.9
Euro area (20 countries),2001-07-01,77.81
Euro area (20 countries),2001-07-01,2.6
Euro area (20 countries),2001-08-01,77.75
Euro area (20 countries),2001-08-01,2.4
Euro area (20 countries),2001-09-01,77.96
Euro area (20 countries),2001-09-01,2.3
Euro area (20 countries),2001-10-01,78.03
Euro area (20 countries),2001-10-01,2.3
Euro area (20 countries),2001-11-01,77.98
